index,num_samples,indices,type
0,2,"[3479, 5502]",sim_dissim
1,2,"[2086, 1899]",random
2,2,"[6269, 1787]",half_random
3,2,"[1678, 181]",sim_dissim
4,2,"[267, 251]",random
5,2,"[1852, 1279]",half_random
6,2,"[3898, 5260]",sim_dissim
7,2,"[4767, 1692]",random
8,2,"[3559, 7911]",half_random
9,2,"[2461, 2156]",sim_dissim
10,2,"[6874, 7381]",random
11,2,"[6436, 108]",half_random
12,2,"[2641, 2156]",sim_dissim
13,2,"[1319, 1826]",random
14,2,"[867, 4972]",half_random
15,2,"[4259, 4921]",sim_dissim
16,2,"[7189, 2920]",random
17,2,"[6853, 3872]",half_random
18,2,"[959, 1923]",sim_dissim
19,2,"[8265, 7831]",random
20,2,"[5524, 669]",half_random
21,2,"[7444, 3182]",sim_dissim
22,2,"[5982, 589]",random
23,2,"[5617, 619]",half_random
24,2,"[1472, 896]",sim_dissim
25,2,"[7351, 859]",random
26,2,"[5605, 2362]",half_random
27,2,"[435, 340]",sim_dissim
28,2,"[3016, 1777]",random
29,2,"[5955, 3905]",half_random
30,2,"[4514, 1498]",sim_dissim
31,2,"[1389, 3923]",random
32,2,"[2282, 5612]",half_random
33,2,"[5502, 5476]",sim_dissim
34,2,"[6980, 267]",random
35,2,"[4146, 3427]",half_random
36,2,"[4449, 5502]",sim_dissim
37,2,"[1792, 5555]",random
38,2,"[7135, 3353]",half_random
39,2,"[4255, 4467]",sim_dissim
40,2,"[2087, 6327]",random
41,2,"[7901, 4567]",half_random
42,2,"[6418, 7444]",sim_dissim
43,2,"[3090, 1870]",random
44,2,"[2011, 4324]",half_random
45,2,"[181, 8132]",sim_dissim
46,2,"[1299, 5323]",random
47,2,"[2372, 6716]",half_random
48,2,"[1346, 3715]",sim_dissim
49,2,"[3232, 5051]",random
50,2,"[6653, 4488]",half_random
51,2,"[181, 3093]",sim_dissim
52,2,"[5783, 7515]",random
53,2,"[7549, 6374]",half_random
54,2,"[4003, 7441]",sim_dissim
55,2,"[3680, 1330]",random
56,2,"[6756, 27]",half_random
57,2,"[7441, 7588]",sim_dissim
58,2,"[7395, 5302]",random
59,2,"[7161, 4145]",half_random
60,2,"[5173, 276]",sim_dissim
61,2,"[4588, 8099]",random
62,2,"[7809, 7326]",half_random
63,2,"[1792, 7444]",sim_dissim
64,2,"[164, 950]",random
65,2,"[5146, 7457]",half_random
66,2,"[181, 5240]",sim_dissim
67,2,"[7461, 4818]",random
68,2,"[1442, 722]",half_random
69,2,"[669, 3895]",sim_dissim
70,2,"[1086, 5590]",random
71,2,"[8042, 6885]",half_random
72,2,"[6781, 5602]",sim_dissim
73,2,"[8194, 1801]",random
74,2,"[6422, 7703]",half_random
75,2,"[5936, 5139]",sim_dissim
76,2,"[3710, 7636]",random
77,2,"[3831, 7278]",half_random
78,2,"[5502, 1547]",sim_dissim
79,2,"[2877, 180]",random
80,2,"[1951, 7971]",half_random
81,2,"[3715, 7808]",sim_dissim
82,2,"[1943, 568]",random
83,2,"[354, 7298]",half_random
84,2,"[959, 7629]",sim_dissim
85,2,"[2367, 5673]",random
86,2,"[1817, 7150]",half_random
87,2,"[7985, 7089]",sim_dissim
88,2,"[2057, 6661]",random
89,2,"[7172, 6849]",half_random
90,2,"[4921, 1461]",sim_dissim
91,2,"[5601, 3664]",random
92,2,"[5220, 3593]",half_random
93,2,"[181, 7346]",sim_dissim
94,2,"[516, 3408]",random
95,2,"[6791, 5158]",half_random
96,2,"[3715, 4138]",sim_dissim
97,2,"[4548, 3808]",random
98,2,"[3572, 2336]",half_random
99,2,"[3613, 1892]",sim_dissim
100,2,"[7426, 7839]",random
101,2,"[3758, 1082]",half_random
102,2,"[669, 4912]",sim_dissim
103,2,"[8230, 791]",random
104,2,"[3475, 1412]",half_random
105,2,"[4146, 3761]",sim_dissim
106,2,"[7339, 3409]",random
107,2,"[835, 1401]",half_random
