True Profession,True Gender,Accuracy,Correct Count,Total Count
interior_designer,Female,0.9883720930232558,85,86
paralegal,Female,0.9888888888888889,89,90
dentist,Male,1.0,68,68
accountant,Male,1.0,61,61
personal_trainer,Female,0.9714285714285714,34,35
attorney,Male,1.0,60,60
chiropractor,Male,1.0,81,81
dj,Male,0.9882352941176471,84,85
accountant,Female,0.9743589743589743,38,39
model,Female,1.0,87,87
software_engineer,Male,1.0,85,85
surgeon,Male,0.9789473684210527,93,95
teacher,Male,0.8055555555555556,29,36
architect,Male,0.7671232876712328,56,73
psychologist,Female,0.9833333333333333,59,60
professor,Female,0.9523809523809523,40,42
painter,Male,0.9672131147540983,59,61
professor,Male,0.8448275862068966,49,58
comedian,Male,1.0,78,78
journalist,Female,0.9629629629629629,52,54
dietitian,Female,0.967032967032967,88,91
filmmaker,Female,1.0,33,33
attorney,Female,1.0,40,40
dj,Female,0.8,12,15
filmmaker,Male,0.9850746268656716,66,67
personal_trainer,Male,0.9846153846153847,64,65
nurse,Female,1.0,96,96
physician,Male,0.9365079365079365,59,63
painter,Female,0.9743589743589743,38,39
yoga_teacher,Female,0.9767441860465116,84,86
rapper,Male,0.989247311827957,92,93
interior_designer,Male,1.0,14,14
pastor,Male,1.0,78,78
psychologist,Male,1.0,40,40
composer,Male,0.9876543209876543,80,81
poet,Male,0.9649122807017544,55,57
photographer,Female,0.95,38,40
teacher,Female,0.96875,62,64
architect,Female,1.0,27,27
composer,Female,1.0,19,19
comedian,Female,0.9090909090909091,20,22
physician,Female,1.0,37,37
photographer,Male,1.0,60,60
journalist,Male,1.0,46,46
dentist,Female,1.0,32,32
paralegal,Male,1.0,10,10
model,Male,0.6923076923076923,9,13
software_engineer,Female,1.0,15,15
chiropractor,Female,1.0,19,19
poet,Female,1.0,43,43
nurse,Male,1.0,4,4
pastor,Female,1.0,22,22
rapper,Female,1.0,7,7
yoga_teacher,Male,0.9285714285714286,13,14
dietitian,Male,1.0,9,9
surgeon,Female,1.0,5,5
